Contracting Agency ID,Contracting Agency Name,Contracting Office ID,Contracting Office Name,Country Where Award was Issued,Funding Agency ID,Funding Agency Name,Funding Department Name,Funding Office ID,Funding Office Name,Is Funded by Foreign Entity (Foreign Funding) Code,Inherently Governmental Description,Inherently Governmental Function,IDV Department ID,IDV Department Name,Referenced IDV Agency ID,(Program Acronym),IDV Program Acronym,PIID,Referenced  IDV PIID,Solicitation ID,Fiscal Year,Date Signed,Effective Date,Completion Date,Est. Ultimate Completion Date,(Last Date To Order),Type of Contract,Type of Set Aside,NAICS Code,NAICS Description,Principal Place of Performance City Name,Principal Place of Performance State Code,Extent Competed,Award or IDV Type,SBIR STTR,Vendor Name,DUNS Number,Zip,(Website URL),Email Address,Number of Offers Received,Modification Number,Reason For Modification Description,Transaction Number,Other Than Full and Open Competition,Performance Based Service Acquisition Code,Solicitation Procedures,Cost or Pricing Data,A-76 Action Code,(Type of IDC),Pre Award FBO Synopsis,Base and All Options Value (Total Contract Value),Action Obligation,Actions
1406,DEPARTMENTAL OFFICES,4,IBC ACQUISITION SERVICES DIRECTORATE,USA,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH AND HUMAN SERVICES, DEPARTMENT OF",100,DEPT OF HHS,X,CRITICAL FUNCTIONS,CT        ,4700,GENERAL SERVICES ADMINISTRATION,4730,N/A,,IND14PD00951,GS35F0448N,D12PS00285,2014,8/7/2014,8/6/2014,8/5/2015,8/5/2019,,TIME AND MATERIALS,,541519,OTHER COMPUTER RELATED SERVICES,WASHINGTON,DC,FULL AND OPEN COMPETITION,DELIVERY ORDER,,KNOWLEDGE CONSULTING GROUP,7232429,201913461,,N/A,15,0,,0,,N,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,N,N/A,N,"$110,732,825.40 ","$1,268,133.79 ",1
1406,DEPARTMENTAL OFFICES,4,IBC ACQUISITION SERVICES DIRECTORATE,USA,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH AND HUMAN SERVICES, DEPARTMENT OF",100,DEPT OF HHS,X,CRITICAL FUNCTIONS,CT        ,4700,GENERAL SERVICES ADMINISTRATION,4730,N/A,,IND14PD00951,GS35F0448N,D12PS00285,2014,9/17/2014,9/13/2014,8/5/2015,8/5/2019,,TIME AND MATERIALS,,541519,OTHER COMPUTER RELATED SERVICES,WASHINGTON,DC,FULL AND OPEN COMPETITION,DELIVERY ORDER,,KNOWLEDGE CONSULTING GROUP,7232429,201913461,,N/A,15,1,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,0,,N,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,N,N/A,N,($17.66),"$186,133.60 ",1
1406,DEPARTMENTAL OFFICES,4,IBC ACQUISITION SERVICES DIRECTORATE,USA,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH AND HUMAN SERVICES, DEPARTMENT OF",100,DEPT OF HHS,X,CRITICAL FUNCTIONS,CT        ,4700,GENERAL SERVICES ADMINISTRATION,4730,N/A,,IND14PD00951,GS35F0448N,D12PS00285,2015,5/8/2015,5/8/2015,8/5/2015,8/5/2019,,TIME AND MATERIALS,,541519,OTHER COMPUTER RELATED SERVICES,WASHINGTON,DC,FULL AND OPEN COMPETITION,DELIVERY ORDER,,KNOWLEDGE CONSULTING GROUP,7232429,201913461,,N/A,15,3,OTHER ADMINISTRATIVE ACTION,0,,N,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,N,N/A,N,$0.00 ,$0.00 ,1
1406,DEPARTMENTAL OFFICES,4,IBC ACQUISITION SERVICES DIRECTORATE,USA,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH AND HUMAN SERVICES, DEPARTMENT OF",100,DEPT OF HHS,X,CRITICAL FUNCTIONS,CT        ,4700,GENERAL SERVICES ADMINISTRATION,4730,N/A,,IND14PD00951,GS35F0448N,D12PS00285,2015,7/30/2015,7/30/2015,8/5/2015,8/5/2019,,TIME AND MATERIALS,,541519,OTHER COMPUTER RELATED SERVICES,WASHINGTON,DC,FULL AND OPEN COMPETITION,DELIVERY ORDER,,KNOWLEDGE CONSULTING GROUP,7232429,201913461,,N/A,15,4,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,0,,N,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,N,N/A,N,$0.00 ,$0.00 ,1
1406,DEPARTMENTAL OFFICES,4,IBC ACQUISITION SERVICES DIRECTORATE,USA,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH AND HUMAN SERVICES, DEPARTMENT OF",100,DEPT OF HHS,X,CRITICAL FUNCTIONS,CT        ,4700,GENERAL SERVICES ADMINISTRATION,4730,N/A,,IND14PD00951,GS35F0448N,D12PS00285,2015,8/3/2015,8/5/2015,8/5/2016,8/5/2019,,TIME AND MATERIALS,,541519,OTHER COMPUTER RELATED SERVICES,WASHINGTON,DC,FULL AND OPEN COMPETITION,DELIVERY ORDER,,KNOWLEDGE CONSULTING GROUP,7232429,201913461,,N/A,15,5,EXERCISE AN OPTION,0,,N,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,N,N/A,N,$0.00 ,"$1,772,170.54 ",1
1406,DEPARTMENTAL OFFICES,4,IBC ACQUISITION SERVICES DIRECTORATE,USA,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH AND HUMAN SERVICES, DEPARTMENT OF",100,DEPT OF HHS,X,CRITICAL FUNCTIONS,CT        ,4700,GENERAL SERVICES ADMINISTRATION,4730,N/A,,IND14PD00951,GS35F0448N,D12PS00285,2015,9/18/2015,9/18/2015,8/5/2016,8/5/2019,,TIME AND MATERIALS,,541519,OTHER COMPUTER RELATED SERVICES,WASHINGTON,DC,FULL AND OPEN COMPETITION,DELIVERY ORDER,,KNOWLEDGE CONSULTING GROUP,7232429,201913461,,N/A,15,6,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,0,,N,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,N,N/A,N,$0.00 ,"$266,525.16 ",1
1406,DEPARTMENTAL OFFICES,4,IBC ACQUISITION SERVICES DIRECTORATE,USA,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH AND HUMAN SERVICES, DEPARTMENT OF",100,DEPT OF HHS,X,OTHER FUNCTIONS,OT,4700,GENERAL SERVICES ADMINISTRATION,4730,N/A,,IND15PD00971,GS35F0024R,D15PS00332,2016,11/9/2015,11/9/2015,8/31/2016,8/31/2020,,LABOR HOURS,SMALL BUSINESS SET ASIDE - TOTAL,541519,OTHER COMPUTER RELATED SERVICES,WASHINGTON,DC,FULL AND OPEN COMPETITION,DELIVERY ORDER,,"BUSINESS PERFORMANCE SYSTEMS, LLC",19542906,220433509,,N/A,5,2,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,0,,N,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO,N,N/A,N,$0.00 ,$0.00 ,1
1406,DEPARTMENTAL OFFICES,4,IBC ACQUISITION SERVICES DIRECTORATE,USA,7522,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",100,"DEPT OF HHS/ALC, DRUG ABUSE AND MNTL HLTH",X,CLOSELY ASSOCIATED,CL,4700,GENERAL SERVICES ADMINISTRATION,4730,N/A,GWAC - ALLIANT SMALL BUSN,IND15PD01162,GS06F0624Z,,2015,9/3/2015,9/4/2015,9/3/2016,9/3/2020,,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,541512,COMPUTER SYSTEMS DESIGN SERVICES,GERMANTOWN,MD,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,DELIVERY ORDER,,"1 SOURCE CONSULTING, INC.",127896384,208749121,,N/A,7,0,,0,,N,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,N,N/A,N,"$3,617,166.96 ","$723,433.39 ",1
1406,DEPARTMENTAL OFFICES,4,IBC ACQUISITION SERVICES DIRECTORATE,USA,7529,NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",261,"NIH, NCI, OD OM OA OFC ACQUISITIONS",X,CRITICAL FUNCTIONS,CT        ,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",7529,N/A,CIO-SP3SB SB,IND14PD00826,HHSN316201200117W,,2014,7/25/2014,7/28/2014,7/27/2015,7/27/2019,,LABOR HOURS,SMALL BUSINESS SET ASIDE - TOTAL,541512,COMPUTER SYSTEMS DESIGN SERVICES,ROCKVILLE,MD,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,DELIVERY ORDER,,"ATTAIN, LLC",831112466,221826216,,N/A,9,0,,0,,N,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,N,N/A,N,"$50,354,102.35 ","$1,352,593.93 ",1
1406,DEPARTMENTAL OFFICES,4,IBC ACQUISITION SERVICES DIRECTORATE,USA,7529,NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",261,"NIH, NCI, OD OM OA OFC ACQUISITIONS",X,CRITICAL FUNCTIONS,CT        ,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",7529,N/A,CIO-SP3SB SB,IND14PD00826,HHSN316201200117W,,2014,8/15/2014,7/28/2014,7/27/2015,7/27/2019,,LABOR HOURS,SMALL BUSINESS SET ASIDE - TOTAL,541512,COMPUTER SYSTEMS DESIGN SERVICES,ROCKVILLE,MD,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,DELIVERY ORDER,,"ATTAIN, LLC",831112466,221826216,,N/A,9,1,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,0,,N,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,N,N/A,N,$0.00 ,"$556,500.14 ",1
